Start String,Matched Vocab,Attempts
p,pulchellus,5
pseudoferrugine,pseudoferruginea,1
pseu,,nan
pse,,nan
pseudofe,,nan
pseudoferrugin,pseudoferruginea,1
pseudoferrugi,pseudoferruginea,14
pseudoferrug,,nan
pseudo,pseudostriatus,7
pseudof,,nan
vainuia,vainuia,1
va,,nan
vainuia,vainuia,1
vainui,,nan
vainu,,nan
v,vagus,1
vainuia,vainuia,1
va,,nan
va,,nan
vainuia,vainuia,1
alpi,,nan
alpig,,nan
al,ala,1
alpigen,alpigena,18
alpigenoi,alpigenoides,1
alpige,,nan
alpigeno,alpigenoides,1
a,ana,3
alp,,nan
alpigenoides,alpigenoides,1
rastru,,nan
r,rita,2
rast,,nan
ras,ras,6
rastrum,rastrum,1
rastrum,rastrum,1
rast,,nan
r,rica,2
ra,ras,7
rast,,nan
paucisp,paucispina,2
pauc,,nan
pauci,,nan
p,pilosus,12
paucispina,paucispina,1
pau,pau,1
pa,pae,1
paucispi,paucispina,2
paucis,,nan
paucispin,paucispina,2
hip,,nan
hip,,nan
hip,,nan
hippi,hippie,2
hippie,,nan
hippi,,nan
hipp,,nan
h,havia,2
h,harti,1
hippie,,nan
b,buck,4
bal,bali,7
baline,balinensis,1
b,bergae,5
balin,,nan
bali,bali,1
ba,banensis,1
bali,bali,1
b,bergi,1
baline,balinensis,7
l,lineata,1
laniu,lanius,1
lani,,nan
laniu,lanius,1
laniu,lanius,1
la,la,1
laniu,lanius,1
laniu,lanius,1
la,la,1
lan,lane,11
lyug,,nan
lyugadinu,lyugadinus,1
l,lea,2
lyugadin,lyugadinus,3
lyuga,,nan
ly,,nan
lyugad,,nan
lyugadinus,lyugadinus,1
lyu,,nan
lyugadi,,nan
tenebrosus,tenebrosus,1
tenebro,tenebrosus,1
ten,,nan
te,,nan
tenebr,tenebrosus,3
tene,,nan
teneb,,nan
t,tuberculata,14
tenebrosu,tenebrosus,1
tenebros,tenebrosus,1
guangxicu,guangxicus,1
guangxic,guangxicus,2
