Start String,Generated New Vocab,Attempts
p,potami,0
pseudoferrugine,pseudoferrugineum,2
pseu,pseux,0
pse,pse,0
pseudofe,pseudofera,0
pseudoferrugin,pseudoferrugina,0
pseudoferrugi,pseudoferrugina,1
pseudoferrug,pseudoferrugi,0
pseudo,pseudotaeniatus,0
pseudof,pseudoffi,0
vainuia,vainuiai,15
va,va,0
vainuia,vainuiae,2
vainui,vainui,0
vainu,vainus,0
v,vorum,0
vainuia,vainuiae,6
va,va,0
va,va,0
vainuia,vainuiai,19
alpi,alpi,0
alpig,alpiga,0
al,alaensis,0
alpigen,alpigen,0
alpigenoi,,nan
alpige,alpigera,0
alpigeno,alpigeno,10
a,a,0
alp,alpa,0
alpigenoides,,nan
rastru,rastrus,0
r,rondalis,0
rast,rasta,0
ras,rasha,0
rastrum,,nan
rastrum,,nan
rast,rastus,0
r,ra,0
ra,ra,0
rast,rastes,0
paucisp,paucisper,0
pauc,pauchiensis,0
pauci,paucipes,0
p,plesta,0
paucispina,,nan
pau,paurti,5
pa,palus,0
paucispi,paucispinum,5
paucis,paucistanicum,0
paucispin,paucispinum,3
hip,hipum,0
hip,hipus,0
hip,hipus,0
hippi,hippi,0
hippie,hippiensis,0
hippi,hippi,0
hipp,hippi,0
h,harmai,0
h,harta,0
hippie,hippiensis,0
b,besus,2
bal,bal,0
baline,balinea,0
b,boga,0
balin,balin,0
bali,balis,5
ba,banica,1
bali,balis,0
b,berg,0
baline,balineae,0
l,landica,0
laniu,,nan
lani,lani,0
laniu,laniu,14
laniu,,nan
la,lae,3
laniu,,nan
laniu,,nan
la,lakea,0
lan,lang,0
lyug,lyugi,0
lyugadinu,lyugadinum,8
l,landicum,1
lyugadin,lyugadina,0
lyuga,lyuga,0
ly,lysei,0
lyugad,lyugadus,0
lyugadinus,,nan
lyu,lyun,0
lyugadi,lyugadi,0
tenebrosus,,nan
tenebro,tenebroi,0
ten,tensis,0
te,tensis,0
tenebr,tenebri,0
tene,tenes,0
teneb,tenebalis,0
t,tor,1
tenebrosu,tenebrosum,0
tenebros,,nan
guangxicu,,nan
guangxic,guangxica,0
gu,gusa,1
g,gai,0
gua,guaensis,0
guangx,guangxiani,5
guangxi,guangxiani,5
guangxicus,,nan
guan,guana,0
guang,guang,0
s,stricta,0
sa,sae,2
sara,sara,0
sarahcrewsae,,nan
sarahc,sarahcam,0
sarahcrew,sarahcrewsi,0
sarahcr,sarahcrisi,0
sarahcrews,sarahcrewsi,0
sarahcre,sarahcrensis,0
sar,sariensis,0
cuneatu,,nan
cun,cuna,0
cun,cuna,0
cu,cuna,0
cunea,cunea,0
c,ctilosa,0
cunea,cunea,0
cune,cunensis,0
cune,cunes,0
cuneatus,,nan
coottha,cootthas,6
coott,coott,0
coo,coo,0
co,cock,0
c,chi,0
cootth,cootthalica,0
cootth,cootthes,0
coo,coo,0
coott,cootti,0
cootth,cootthami,1
blanc,blanchi,0
bl,bli,0
bl,bli,0
blanc,blancoi,0
bla,blai,1
bla,bla,0
bla,blae,0
blanco,blancoi,0
b,bord,0
b,bari,1
valqu,valquesi,0
va,va,0
valquiri,valquiri,0
valq,valqui,0
valquir,valquiri,0
valqu,valqui,0
val,valai,0
valquiri,valquiri,0
va,va,0
v,va,1
lacte,lactei,0
lac,lacea,0
lact,lactus,7
lac,lachelloi,0
la,lae,1
lacteus,lacteuse,13
lacteus,lacteusi,8
lacteus,lacteusi,7
lacte,lacteae,0
l,lestina,0
consuelo,consuelos,0
consue,consuensis,0
con,cons,0
c,chis,1
consuel,consuellum,0
consuelo,consuelowes,8
consuelo,consuelos,11
co,cota,0
cons,consi,0
con,conensis,0
schubo,schubo,0
sc,schi,0
schub,schuberti,0
schubotzi,,nan
sch,schae,0
sc,schi,0
sc,schensis,0
schubotzi,,nan
schubo,schuborum,0
sc,scki,0
dep,depara,0
depunct,depunctatus,0
depunc,depunctata,0
d,densis,0
de,densis,0
depunct,depunctatus,0
de,deteri,0
dep,depres,0
de,densis,0
depunct,depunctatus,0
yacuiens,,nan
yacuiensis,,nan
yacuien,,nan
yacuiensi,,nan
y,y,0
yacuie,yacuiense,0
yacui,,nan
ya,yaensis,0
yacu,yacu,0
yac,yaca,0
kopo,koporu,0
koponeni,koponenii,1
kopon,kopon,0
kopone,koponensis,0
kopon,koponi,0
kopon,kopon,0
kopo,kopo,0
kop,kops,0
kopone,koponensis,0
k,kis,0
per,pers,0
per,pera,0
pe,peus,0
p,phora,1
perc,percae,0
pe,pe,0
pe,pensis,0
percy,percyla,0
perc,perci,0
per,pera,0
dunstani,dunstanicum,1
dunstani,dunstanicus,0
dunsta,dunstanicus,1
dun,dundji,0
dunstani,dunstanicus,0
dun,dung,0
dunst,dunstlani,0
dun,dung,0
d,deseri,0
dun,dunk,0
fuscoma,fuscomaculatus,0
fusco,fuscolineata,0
fuscomaculatum,,nan
fuscomacul,fuscomaculata,0
fuscom,fuscoma,0
fuscomaculatu,fuscomaculatus,0
fuscomac,fuscomaculatus,1
fuscomacu,fuscomaculatus,0
fuscomacula,fuscomaculatus,0
fuscomaculat,fuscomaculatus,0
st,sthani,0
str,strae,0
strab,straber,0
stra,stra,0
stra,stra,0
s,stralia,0
strab,strabilis,0
straba,strababile,0
strab,strabilis,0
str,stri,0
palik,palika,0
palikea,palikeae,0
palikea,palikeae,1
p,pedi,0
pal,palpa,1
pa,pa,0
pal,palis,0
pa,pa,0
palike,palike,0
pal,palaya,0
xiq,xiqui,0
xiquanens,,nan
xiqua,xiqua,0
xiqu,xiquensis,0
xi,xi,0
xiquane,xiquanense,3
xiquanen,,nan
xiquanensis,,nan
x,xius,1
xiquanensi,,nan
zang,zangensis,0
zanghe,zanghe,0
zan,zanae,0
zan,zanchenkoi,0
zan,zani,0
zang,zang,0
zangherii,,nan
zang,zangensis,0
zang,zangensis,0
zang,zanga,0
trima,trima,0
trim,trim,0
tr,tras,0
tri,trix,0
tri,trix,0
t,ta,0
t,tabunda,0
trima,trima,0
tr,tra,0
t,ton,0
coe,coensis,0
c,chrandibali,0
c,chella,0
coen,coensis,0
c,chiorensis,0
coeno,coenoides,0
coe,coensis,0
coeno,coenoides,0
coenosa,,nan
coeno,coenoides,0
simoni,,nan
si,,nan
simonis,,nan
simonis,,nan
simoni,,nan
simoni,,nan
simo,simor,0
simon,simontana,0
si,,nan
sim,simum,1
b,bard,1
bimucronatu,,nan
bimucronatus,,nan
bi,bi,0
bimucr,bimucri,0
bimu,bimus,0
bimucrona,bimucrona,0
bimucron,bimucron,0
bimuc,bimuchi,0
bimucro,bimucro,0
de,de,0
dem,demi,0
demersa,demersanae,1
demersa,demersae,0
demer,demeri,0
dem,demae,0
d,duosus,0
dem,deminae,0
deme,demeriana,0
de,derai,0
altim,altim,0
alt,altae,0
altimontan,altimontani,0
altimo,altimovi,0
altimon,altimoni,0
altimont,altimontanum,4
al,al,0
altimontanu,,nan
altimonta,altimonta,1
a,ang,0
ha,hae,0
haplotar,haplotarsalis,1
h,hellis,0
haplota,haplota,0
haplotars,haplotarsi,0
haplo,haplorax,0
haplot,haplot,0
hap,hapensis,0
haplotarsa,haplotarsatus,0
hapl,haplos,0
akha,akhanus,0
a,a,0
akh,akhi,0
akh,akham,0
akhanii,,nan
a,ablensis,1
akhan,akhani,0
a,atia,0
akhani,akhanica,0
a,artoi,1
calcitr,calcitri,0
calcitrans,,nan
calci,calcia,0
c,cus,1
calcitra,calcitra,0
ca,ca,0
calcitran,calcitrana,0
calc,calca,0
calcit,calcita,0
cal,cal,1
she,she,0
s,s,1
she,sherne,0
s,seni,0
she,she,0
she,sheri,0
sheba,shebai,2
s,shui,0
sh,shae,0
sh,shari,0
alp,alpi,0
alpinu,alpinum,16
alp,alpa,0
alpinus,,nan
alpin,alpin,1
alpinus,,nan
a,angensis,0
alpinus,,nan
alp,alpi,0
alpinus,,nan
vassununga,,nan
vass,vassi,0
vassunung,vassunung,2
vassunu,vassunuensis,0
vassu,vassui,0
vassunun,vassunun,0
vas,vas,0
v,vires,0
va,va,0
vassun,vassuna,0
p,psa,0
po,poye,0
pougnet,pougnet,0
pou,pou,0
pougneti,,nan
pougne,pougnei,0
pougne,pougneri,0
poug,pougi,0
p,putralis,0
pougneti,,nan
pe,pensis,0
p,pito,0
pen,pensis,0
pen,pensis,0
pentodon,pentodong,9
pentodo,pentodor,0
pentod,pentodi,0
pentodon,,nan
pentod,pentoduc,0
pe,pe,0
flavocin,flavocinhus,16
flavo,flavorata,0
flavoci,flavociana,0
flavoc,flavoca,0
flavocinct,,nan
flav,flavorum,0
fl,flasieta,0
f,formis,0
fla,flana,0
flavocincta,,nan
gibber,gibbergi,0
gibb,gibbo,0
g,gaense,0
gibbe,gibbensis,0
gibber,gibbergi,0
gi,gi,0
gibber,gibbergi,0
gibber,gibbergi,0
g,garensis,0
gi,gi,0
se,sensis,2
seneg,seneg,0
senegalensis,,nan
senegalensi,,nan
sene,senes,0
sen,sensis,0
senegalens,senegalense,6
s,strani,0
senegal,senegal,0
senegale,senegalense,17
katy,katy,0
katy,katy,0
ka,ka,0
kat,katana,0
kat,katanus,0
k,kii,0
katy,katy,0
katya,katya,0
ka,ka,0
kat,kat,0
f,formis,1
flora,,nan
flor,florum,0
flora,,nan
flo,florus,0
fl,fleus,0
flor,florum,0
fl,flex,0
flora,,nan
flora,,nan
p,phaseus,0
pelz,pelzi,0
pelze,pelze,0
pel,pelae,0
pelzel,pelzeli,0
pel,pellia,0
pe,pe,0
pelzel,pelzeli,0
pelzelni,,nan
pelzel,pelzeli,0
pon,poni,0
ponan,ponana,0
pon,pon,0
pona,pona,0
po,poyensis,0
ponanga,,nan
ponang,ponango,0
pona,pona,0
ponan,ponan,0
ponan,ponan,0
hippore,hipporensis,0
hi,hitana,0
hipp,hippi,0
hip,hipata,0
hipporeg,hipporegai,0
hippo,hippoi,0
h,hine,0
hipporegia,hipporegiana,1
hippor,hipporum,0
hipporegi,hipporegi,0
j,jiangensis,1
jimredneri,,nan
jimr,jimri,0
jim,jimans,0
jimredner,jimrednerae,3
jimredn,jimrednae,0
jimre,jimreti,0
jimred,jimredt,0
ji,ji,0
jimredne,jimrednei,0
sh,shali,0
shan,shanica,0
shan,shanica,0
shangr,shangri,0
shangri,shangri,0
sha,shanicus,1
s,skyae,0
sha,shanii,1
shangrila,shangrilae,0
s,syi,0
nelli,,nan
ne,nei,0
nel,nelus,0
ne,nensis,0
nell,nella,1
ne,nensis,0
